Model No,Basic Model Name,Epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,,
MODEL6,VGG-16-B,7,0.36575079,0.872694373,0.458859384,0.786458313,,
MODEL6,VGG-16-B,8,0.350581646,0.8813743,0.471595079,0.782118082,,
MODEL6,VGG-16-B,9,0.347257882,0.886075974,0.424415946,0.811631918,,
MODEL6,VGG-16-B,10,0.330541968,0.884990931,0.464094043,0.795138896,,
MODEL6,VGG-16-B,11,0.327642441,0.880289316,0.46732527,0.794270813,,
MODEL6,VGG-16-B,12,0.316172868,0.88824594,0.495211661,0.777777791,,
MODEL6,VGG-16-B,13,0.313228369,0.886799276,0.412539601,0.817708313,,
MODEL6,VGG-16-B,14,0.311781555,0.88824594,0.369031757,0.84375,,
MODEL6,VGG-16-B,15,0.309315145,0.893309236,0.403336525,0.821180582,,
MODEL6,VGG-16-B,16,0.300196499,0.885352612,0.416611344,0.8125,,
MODEL6,VGG-16-B,17,0.2890414,0.893670857,0.432275802,0.811631918,,
MODEL6,VGG-16-B,18,0.273317695,0.906690776,0.414522558,0.813368082,,
MODEL6,VGG-16-B,19,0.297127694,0.895479202,0.385268092,0.833333313,,
MODEL6,VGG-16-B,20,0.270945817,0.906690776,0.434115559,0.814236104,,
MODEL6,VGG-16-B,21,0.276699156,0.90452081,0.410054684,0.815104187,,
MODEL6,VGG-16-B,22,0.27792567,0.904159129,0.432701737,0.809027791,,
MODEL6,VGG-16-B,23,0.263319701,0.9146474,0.445974976,0.799479187,,
MODEL6,VGG-16-B,24,0.274145037,0.902698874,0.405878067,0.821180582,,
MODEL6,VGG-16-B,25,0.262519717,0.906690776,0.408450246,0.823784709,,
MODEL6,VGG-16-B,26,0.260471612,0.907052457,0.370834559,0.841145813,,
MODEL6,VGG-16-B,27,0.252990305,0.915009022,0.362012029,0.850694418,,
MODEL6,VGG-16-B,28,0.259786695,0.909222424,0.383110434,0.836805582,,
MODEL6,VGG-16-B,29,0.263790548,0.907414079,0.38788712,0.837673604,,
MODEL6,VGG-16-B,30,0.25048542,0.913924038,0.379941523,0.842881918,,
MODEL6,VGG-16-B,31,0.250913769,0.908137441,0.417312533,0.823784709,,
MODEL6,VGG-16-B,32,0.255931735,0.902712464,0.363871276,0.842013896,,
MODEL6,VGG-16-B,33,0.24345015,0.914285719,0.406152248,0.828125,,
MODEL6,VGG-16-B,34,0.249593839,0.916094005,0.378305584,0.841145813,,
MODEL6,VGG-16-B,35,0.259419948,0.911931813,0.394770652,0.825520813,,
MODEL6,VGG-16-B,36,0.247194722,0.914285719,0.365583777,0.848090291,,
MODEL6,VGG-16-B,37,0.237905905,0.916455686,0.392213941,0.831597209,,
MODEL6,VGG-16-B,38,0.237787321,0.915009022,0.388138533,0.8359375,,
MODEL6,VGG-16-B,39,0.237321436,0.919349015,0.402193844,0.828993082,,
MODEL6,VGG-16-B,40,0.238898754,0.918264031,0.337009609,0.861979187,,
MODEL6,VGG-16-B,41,0.235057771,0.920072317,0.411340177,0.828125,,
MODEL6,VGG-16-B,42,0.245016858,0.9146474,0.392280519,0.839409709,,
MODEL6,VGG-16-B,43,0.228246689,0.920795679,0.373577863,0.842881918,,
MODEL6,VGG-16-B,44,0.238844141,0.91790235,0.336986989,0.8671875,,
MODEL6,VGG-16-B,45,0.231964648,0.919349015,0.321381301,0.878472209,,
MODEL6,VGG-16-B,46,0.231538966,0.920433998,0.340464354,0.871527791,,
MODEL6,VGG-16-B,47,0.232220963,0.914285719,0.398524642,0.830729187,,
MODEL6,VGG-16-B,48,0.233091384,0.920795679,0.352039397,0.864583313,,
MODEL6,VGG-16-B,49,0.224789679,0.920433998,0.398642898,0.832465291,,
MODEL6,VGG-16-B,50,0.229392454,0.922965646,0.348653913,0.862847209,,
MODEL6,VGG-16-B,51,0.234140262,0.9146474,0.341278493,0.862847209,,
MODEL6,VGG-16-B,52,0.228265628,0.923327327,0.360450029,0.854166687,,
MODEL6,VGG-16-B,53,0.228615642,0.919349015,0.387758851,0.838541687,,
MODEL6,VGG-16-B,54,0.22587429,0.921519876,0.365638793,0.853298604,,
MODEL6,VGG-16-B,55,0.229146689,0.916817367,0.399263322,0.835069418,,
MODEL6,VGG-16-B,56,0.221334979,0.925135612,0.400875747,0.836805582,,
MODEL6,VGG-16-B,57,0.213252857,0.925858974,0.384067237,0.845486104,,
MODEL6,VGG-16-B,58,0.214483768,0.928390622,0.401822448,0.8359375,,
MODEL6,VGG-16-B,59,0.231982335,0.921880662,0.42434594,0.825520813,,
MODEL6,VGG-16-B,60,0.220232144,0.929113925,0.34459269,0.874131918,,
MODEL6,VGG-16-B,61,0.221005097,0.923327327,0.352108657,0.862847209,,
MODEL6,VGG-16-B,62,0.225469977,0.924050629,0.351360857,0.858506918,,
MODEL6,VGG-16-B,63,0.212644711,0.931283891,0.401444018,0.826388896,,
MODEL6,VGG-16-B,64,0.2072317,0.928752244,0.33912164,0.864583313,,
MODEL6,VGG-16-B,65,0.213886991,0.922242343,0.336503237,0.877604187,,
MODEL6,VGG-16-B,66,0.219606921,0.927305579,0.350277245,0.860243082,,
MODEL6,VGG-16-B,67,0.20979178,0.928028941,0.358352542,0.856770813,,
MODEL6,VGG-16-B,68,0.210612774,0.927305579,0.324451238,0.878472209,,
MODEL6,VGG-16-B,69,0.21040611,0.932528436,0.379824042,0.844618082,,
MODEL6,VGG-16-B,70,0.205941841,0.925135612,0.379154444,0.846354187,,
MODEL6,VGG-16-B,71,0.220028818,0.923327327,0.360421896,0.860243082,,
MODEL6,VGG-16-B,72,0.211448073,0.929113925,0.329193413,0.871527791,,
MODEL6,VGG-16-B,73,0.214103818,0.93092227,0.316931754,0.881944418,,
MODEL6,VGG-16-B,74,0.20736818,0.926846564,0.364283651,0.862847209,,
MODEL6,VGG-16-B,75,0.216856539,0.925858974,0.368728846,0.855034709,,
MODEL6,VGG-16-B,76,0.20847261,0.92766726,0.322022557,0.878472209,,
MODEL6,VGG-16-B,77,0.209582955,0.928752244,0.363279194,0.854166687,,
MODEL6,VGG-16-B,78,0.208263963,0.930560589,0.380524129,0.840277791,,
MODEL6,VGG-16-B,79,0.212497398,0.924773932,0.314913332,0.881076396,,
MODEL6,VGG-16-B,80,0.213214412,0.927305579,0.361165851,0.855902791,,
MODEL6,VGG-16-B,81,0.215190783,0.924773932,0.357441604,0.863715291,,
MODEL6,VGG-16-B,82,0.212649971,0.92766726,0.348400623,0.869791687,,
MODEL6,VGG-16-B,83,0.198009983,0.93417722,0.380206883,0.840277791,,
MODEL6,VGG-16-B,84,0.193401664,0.938517153,0.379941612,0.853298604,,
MODEL6,VGG-16-B,85,0.213333935,0.92766726,0.374669552,0.852430582,,
